epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8829719424247742,0.9076641798019409,0.0009,0.9870689511299133,0.41907355189323425
1,0.9559949040412903,0.49002522230148315,0.0009,0.9655172228813171,0.38162103295326233
2,0.9713010191917419,0.3585670292377472,0.0009,0.9719827771186829,0.35856184363365173
3,0.9728953838348389,0.3257679343223572,0.0009,0.9913793206214905,0.21870961785316467
4,0.9757652878761292,0.32173043489456177,0.0009,0.9633620977401733,0.3489961624145508
5,0.980867326259613,0.2429456114768982,0.0009,0.9870689511299133,0.2517755329608917
6,0.9885203838348389,0.18509045243263245,0.0009,0.982758641242981,0.24115508794784546
7,0.9948979616165161,0.12280149757862091,0.0009,0.9806034564971924,0.1598755121231079
8,0.9923469424247742,0.11572302877902985,0.0009,0.9741379022598267,0.14667171239852905
9,0.984375,0.16901768743991852,0.0009,0.9655172228813171,0.3214590549468994
10,0.9859693646430969,0.18739289045333862,0.0009,0.9698275923728943,0.43997830152511597
11,0.9894770383834839,0.16066356003284454,0.0009,0.9870689511299133,0.18366067111492157
12,0.9923469424247742,0.12980274856090546,0.0009,0.9913793206214905,0.13401231169700623
13,0.9955357313156128,0.09236651659011841,0.0009,0.993534505367279,0.07658092677593231
14,0.9942601919174194,0.07292795926332474,0.0009,0.9892241358757019,0.07487990707159042
15,0.9948979616165161,0.07041441649198532,0.0009,0.9870689511299133,0.07571408897638321
16,0.9897959232330322,0.10422544181346893,0.0009,0.9762930870056152,0.18708913028240204
17,0.9910714030265808,0.11438851803541183,0.0009,0.982758641242981,0.13823726773262024
18,0.984375,0.1970837414264679,0.0009,0.9956896305084229,0.1520528793334961
19,0.9904336929321289,0.14691194891929626,0.0009,0.9806034564971924,0.19035647809505463
