epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.902742326259613,2.7666120529174805,0.0008,0.9353448152542114,0.459373414516449
1,0.972257673740387,0.2987496256828308,0.0008,0.9568965435028076,0.28766193985939026
2,0.9795918464660645,0.27540960907936096,0.0008,0.9655172228813171,0.28623560070991516
3,0.9770408272743225,0.2649093270301819,0.0008,0.9051724076271057,0.5142848491668701
4,0.9875637888908386,0.17916864156723022,0.0008,0.9525862336158752,0.23937302827835083
5,0.9926658272743225,0.11693070828914642,0.0008,0.9568965435028076,0.276276558637619
6,0.9837372303009033,0.26232433319091797,0.0008,0.982758641242981,0.12387993186712265
7,0.9945790767669678,0.12591156363487244,0.0008,0.9612069129943848,0.3047700822353363
8,0.9987244606018066,0.05971560254693031,0.0008,0.9655172228813171,0.2668284475803375
9,0.9716199040412903,0.5226505994796753,0.0008,0.9418103694915771,0.7521244287490845
10,0.9901148080825806,0.19156144559383392,0.0008,0.9698275923728943,0.3948545455932617
11,0.9929847121238708,0.1300548017024994,0.0008,0.9676724076271057,0.16924339532852173
