epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.808992326259613,3.8421072959899902,0.0009,0.818965494632721,2.4214930534362793
1,0.9575892686843872,0.3736482858657837,0.0009,0.9331896305084229,0.461544930934906
2,0.9661989808082581,0.2619667053222656,0.0009,0.9461206793785095,0.2659149169921875
3,0.9706632494926453,0.2552332282066345,0.0009,0.24353447556495667,29.218265533447266
4,0.9738520383834839,0.25993216037750244,0.0009,0.9762930870056152,0.1693280041217804
5,0.9827806353569031,0.17383244633674622,0.0009,0.954741358757019,0.28102004528045654
6,0.9907525777816772,0.12031545490026474,0.0009,0.9331896305084229,0.3138633370399475
7,0.9795918464660645,0.19654205441474915,0.0009,0.9719827771186829,0.24074779450893402
8,0.9821428656578064,0.21261437237262726,0.0009,0.9698275923728943,0.20254646241664886
9,0.9929847121238708,0.12745028734207153,0.0009,0.9655172228813171,0.2270640879869461
